timestamp,reading
1707189576.2246,Reading: 2.1 lbs
1707189576.31168,Reading: 2.1 lbs
1707189576.39938,Reading: 2.0 lbs
1707189576.48708,Reading: 2.0 lbs
1707189576.57484,Reading: 2.0 lbs
1707189576.662,Reading: 2.0 lbs
1707189576.75079,Reading: 2.0 lbs
1707189576.83702,Reading: 2.0 lbs
1707189576.92528,Reading: 2.0 lbs
1707189577.01296,Reading: 2.0 lbs
1707189577.10166,Reading: 2.0 lbs
1707189577.1887,Reading: 2.0 lbs
1707189577.27662,Reading: 1.9 lbs
1707189577.3648,Reading: 1.9 lbs
1707189577.45148,Reading: 1.9 lbs
1707189577.53967,Reading: 1.9 lbs
1707189577.62737,Reading: 1.9 lbs
1707189577.71501,Reading: 1.9 lbs
1707189577.8043,Reading: 1.9 lbs
1707189577.89033,Reading: 1.9 lbs
1707189577.97867,Reading: 1.9 lbs
1707189578.06498,Reading: 1.9 lbs
1707189578.15361,Reading: 1.9 lbs
1707189578.24154,Reading: 1.8 lbs
1707189578.32972,Reading: 1.8 lbs
1707189578.41645,Reading: 1.9 lbs
1707189578.50492,Reading: 1.9 lbs
1707189578.5921,Reading: 1.9 lbs
1707189578.6802,Reading: 1.9 lbs
1707189578.76742,Reading: 1.8 lbs
1707189578.85592,Reading: 1.7 lbs
1707189578.94304,Reading: 2.0 lbs
1707189579.03174,Reading: 2.0 lbs
1707189579.11814,Reading: 1.8 lbs
1707189579.20647,Reading: 1.8 lbs
1707189579.29461,Reading: 1.8 lbs
1707189579.38161,Reading: 1.9 lbs
1707189579.46982,Reading: 2.0 lbs
1707189579.55759,Reading: 2.0 lbs
1707189579.64542,Reading: 2.0 lbs
1707189579.7327,Reading: 2.0 lbs
1707189579.82051,Reading: 2.0 lbs
1707189579.90811,Reading: 2.0 lbs
1707189579.99589,Reading: 1.9 lbs
1707189580.0831,Reading: 1.9 lbs
1707189580.1715,Reading: 1.9 lbs
1707189580.25988,Reading: 1.9 lbs
1707189580.34594,Reading: 1.9 lbs
1707189580.43464,Reading: 1.9 lbs
1707189580.52293,Reading: 1.9 lbs
1707189580.61065,Reading: 1.9 lbs
1707189580.69762,Reading: 2.0 lbs
1707189580.78564,Reading: 2.0 lbs
1707189580.87303,Reading: 2.0 lbs
1707189580.96134,Reading: 2.1 lbs
1707189581.04865,Reading: 2.1 lbs
1707189581.13601,Reading: 2.2 lbs
1707189581.22479,Reading: 2.3 lbs
1707189581.31122,Reading: 2.4 lbs
1707189581.3996,Reading: 2.5 lbs
1707189581.4877,Reading: 2.6 lbs
1707189581.57543,Reading: 2.7 lbs
1707189581.66198,Reading: 2.8 lbs
1707189581.74967,Reading: 2.9 lbs
1707189581.83805,Reading: 2.9 lbs
1707189581.92694,Reading: 2.9 lbs
1707189582.0136,Reading: 3.0 lbs
1707189582.10164,Reading: 3.0 lbs
1707189582.18938,Reading: 2.9 lbs
1707189582.27737,Reading: 2.8 lbs
1707189582.36489,Reading: 2.6 lbs
1707189582.45205,Reading: 2.5 lbs
1707189582.54038,Reading: 2.4 lbs
1707189582.628,Reading: 2.3 lbs
1707189582.71506,Reading: 2.2 lbs
1707189582.80376,Reading: 2.2 lbs
1707189582.89166,Reading: 2.2 lbs
1707189582.97826,Reading: 2.2 lbs
1707189583.0661,Reading: 2.2 lbs
1707189583.15448,Reading: 2.2 lbs
1707189583.24234,Reading: 2.2 lbs
1707189583.32909,Reading: 2.3 lbs
1707189583.41756,Reading: 2.4 lbs
1707189583.50524,Reading: 2.4 lbs
1707189583.59359,Reading: 2.5 lbs
1707189583.68053,Reading: 2.8 lbs
1707189583.76834,Reading: 3.1 lbs
1707189583.85675,Reading: 3.7 lbs
1707189583.94488,Reading: 4.3 lbs
1707189584.03124,Reading: 4.7 lbs
1707189584.11946,Reading: 4.9 lbs
1707189584.20743,Reading: 5.0 lbs
1707189584.29558,Reading: 5.0 lbs
1707189584.3824,Reading: 5.1 lbs
1707189584.47022,Reading: 5.1 lbs
1707189584.55857,Reading: 5.1 lbs
1707189584.6467,Reading: 5.1 lbs
1707189584.73389,Reading: 5.2 lbs
1707189584.82186,Reading: 5.2 lbs
1707189584.90979,Reading: 5.3 lbs
1707189584.99649,Reading: 5.4 lbs
1707189585.08406,Reading: 5.7 lbs
1707189585.17227,Reading: 6.0 lbs
1707189585.26064,Reading: 6.4 lbs
1707189585.34781,Reading: 6.5 lbs
1707189585.43524,Reading: 6.7 lbs
1707189585.52364,Reading: 7.1 lbs
1707189585.61298,Reading: 7.5 lbs
1707189585.69809,Reading: 7.8 lbs
1707189585.78691,Reading: 8.1 lbs
1707189585.87462,Reading: 8.3 lbs
1707189585.96255,Reading: 8.4 lbs
1707189586.049,Reading: 8.4 lbs
1707189586.13749,Reading: 8.2 lbs
